No;lnhr;lnwg;kids;age;agesq;disab;id;year;lnhr_diff_1;lnwg_diff_1;kids_diff_1;age_diff_1;agesq_diff_1;disab_diff_1;lnhr_diff_2;lnwg_diff_2;kids_diff_2;age_diff_2;agesq_diff_2;disab_diff_2;lnhr_lag_1;lnhr_lag_2;lnwg_lag_1;lnwg_lag_2;kids_lag_1;kids_lag_2;age_lag_1;age_lag_2;agesq_lag_1;agesq_lag_2;disab_lag_1;disab_lag_2
1;7.57558465;1.91250108;2;27;729;0;1;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;7.7450028;1.89160482;2;28;784;0;1;1980;0.16941815;-0.02089626;0;1;55;0;NA;NA;NA;NA;NA;NA;7.57558465;NA;1.91250108;NA;2;NA;27;NA;729;NA;0;NA
3;7.64969262;1.90508812;2;29;841;0;1;1981;-0.09531018;0.0134833;0;1;57;0;0.07410797;-0.00741296;0;2;112;0;7.7450028;7.57558465;1.89160482;1.91250108;2;2;28;27;784;729;0;0
4;7.47306909;1.89009535;2;30;900;0;1;1982;-0.17662353;-0.01499277;0;1;59;0;-0.27193371;-0.00150947;0;2;116;0;7.64969262;7.7450028;1.90508812;1.89160482;2;2;29;28;841;784;0;0
5;7.49554194;1.93585979;2;31;961;0;1;1983;0.02247285;0.04576444;0;1;61;0;-0.15415068;0.03077167;0;2;120;0;7.47306909;7.64969262;1.89009535;1.90508812;2;2;30;29;900;841;0;0
6;7.49554194;1.93296962;2;32;1024;0;1;1984;0;-0.00289017;0;1;63;0;0.02247285;0.04287427;0;2;124;0;7.49554194;7.47306909;1.93585979;1.89009535;2;2;31;30;961;900;0;0
7;7.56008047;2.12465387;2;33;1089;0;1;1985;0.06453853;0.19168425;0;1;65;0;0.06453853;0.18879408;0;2;128;0;7.49554194;7.49554194;1.93296962;1.93585979;2;2;32;31;1024;961;0;0
8;7.76302131;1.94304892;2;34;1156;0;1;1986;0.20294084;-0.18160495;0;1;67;0;0.26747937;0.0100793;0;2;132;0;7.56008047;7.49554194;2.12465387;1.93296962;2;2;33;32;1089;1024;0;0
9;7.864804;1.98650354;2;35;1225;0;1;1987;0.10178269;0.04345462;0;1;69;0;0.30472353;-0.13815033;0;2;136;0;7.76302131;7.56008047;1.94304892;2.12465387;2;2;34;33;1156;1089;0;0
10;7.82404601;1.98100147;2;36;1296;0;1;1988;-0.04075799;-0.00550207;0;1;71;0;0.0610247;0.03795255;0;2;140;0;7.864804;7.76302131;1.98650354;1.94304892;2;2;35;34;1225;1156;0;0
11;7.20042489;2.53607495;4;35;1225;0;2;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;6.94697599;2.52091705;3;37;1369;1;2;1980;-0.2534489;-0.0151579;-1;2;144;1;NA;NA;NA;NA;NA;NA;7.20042489;NA;2.53607495;NA;4;NA;35;NA;1225;NA;0;NA
13;7.23561914;2.59376106;3;37;1369;1;2;1981;0.28864315;0.07284401;0;0;0;0;0.03519425;0.05768611;-1;2;144;1;6.94697599;7.20042489;2.52091705;2.53607495;3;4;37;35;1369;1225;1;0
14;7.4593389;2.5079719;3;38;1444;1;2;1982;0.22371976;-0.08578916;0;1;75;0;0.51236291;-0.01294515;0;1;75;0;7.23561914;6.94697599;2.59376106;2.52091705;3;3;37;37;1369;1369;1;1
15;6.8134446;2.76631909;3;39;1521;0;2;1983;-0.6458943;0.25834719;0;1;77;-1;-0.42217454;0.17255803;0;2;152;-1;7.4593389;7.23561914;2.5079719;2.59376106;3;3;38;37;1444;1369;1;1
16;5.44241771;1.43031121;2;40;1600;0;2;1984;-1.37102689;-1.33600788;-1;1;79;0;-2.01692119;-1.07766069;-1;2;156;-1;6.8134446;7.4593389;2.76631909;2.5079719;3;3;39;38;1521;1444;0;1
17;5.07517382;1.71918876;1;42;1764;1;2;1985;-0.36724389;0.28887755;-1;2;164;1;-1.73827078;-1.04713033;-2;3;243;1;5.44241771;6.8134446;1.43031121;2.76631909;2;3;40;39;1600;1521;0;0
18;5.85220248;1.86252855;1;42;1764;0;2;1986;0.77702866;0.14333979;0;0;0;-1;0.40978477;0.43221734;-1;2;164;0;5.07517382;5.44241771;1.71918876;1.43031121;1;2;42;40;1764;1600;1;0
19;7.68662133;1.83258146;1;43;1849;0;2;1987;1.83441885;-0.02994709;0;1;85;0;2.61144751;0.1133927;0;1;85;-1;5.85220248;5.07517382;1.86252855;1.71918876;1;1;42;42;1764;1764;0;1
20;7.62851763;1.79175947;0;44;1936;0;2;1988;-0.0581037;-0.04082199;-1;1;87;0;1.77631515;-0.07076908;-1;2;172;0;7.68662133;5.85220248;1.83258146;1.86252855;1;1;43;42;1849;1764;0;0
21;7.42654907;2.38692625;0;26;676;1;3;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;7.25134498;2.38139625;0;27;729;0;3;1980;-0.17520409;-0.00553;0;1;53;-1;NA;NA;NA;NA;NA;NA;7.42654907;NA;2.38692625;NA;0;NA;26;NA;676;NA;1;NA
23;7.61579107;2.58097412;0;28;784;0;3;1981;0.36444609;0.19957787;0;1;55;0;0.189242;0.19404787;0;2;108;-1;7.25134498;7.42654907;2.38139625;2.38692625;0;0;27;26;729;676;0;1
24;7.58578882;2.60490942;0;29;841;0;3;1982;-0.03000225;0.0239353;0;1;57;0;0.33444384;0.22351317;0;2;112;0;7.61579107;7.25134498;2.58097412;2.38139625;0;0;28;27;784;729;0;0
25;7.63046126;2.54709871;0;30;900;0;3;1983;0.04467244;-0.05781071;0;1;59;0;0.01467019;-0.03387541;0;2;116;0;7.58578882;7.61579107;2.60490942;2.58097412;0;0;29;28;841;784;0;0
26;7.34923082;2.56878815;0;31;961;0;3;1984;-0.28123044;0.02168944;0;1;61;0;-0.236558;-0.03612127;0;2;120;0;7.63046126;7.58578882;2.54709871;2.60490942;0;0;30;29;900;841;0;0
27;7.29979737;2.64333392;0;32;1024;1;3;1985;-0.04943345;0.07454577;0;1;63;1;-0.33066389;0.09623521;0;2;124;1;7.34923082;7.63046126;2.56878815;2.54709871;0;0;31;30;961;900;0;0
28;7.60339934;2.71071332;0;33;1089;0;3;1986;0.30360197;0.0673794;0;1;65;-1;0.25416852;0.14192517;0;2;128;0;7.29979737;7.34923082;2.64333392;2.56878815;0;0;32;31;1024;961;1;0
29;7.65917137;2.72195311;0;34;1156;0;3;1987;0.05577203;0.01123979;0;1;67;0;0.359374;0.07861919;0;2;132;-1;7.60339934;7.29979737;2.71071332;2.64333392;0;0;33;32;1089;1024;0;1
30;7.61579107;2.63905733;0;35;1225;1;3;1988;-0.0433803;-0.08289578;0;1;69;1;0.01239173;-0.07165599;0;2;136;1;7.65917137;7.60339934;2.72195311;2.71071332;0;0;34;33;1156;1089;0;0
31;7.79975332;2.22570407;0;22;484;0;4;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
